source_line_id,source_page,source_group,source_description,source_quantity,source_unit,reference_found,reference_group,reference_item_number,reference_cat,reference_sel,reference_activity,reference_description,reference_quantity,reference_unit,reference_coverage,reference_rcv,match_confidence,mapping_notes,last_claimxtract_candidate,last_claimxtract_decision,last_claimxtract_commit_state,last_claimxtract_failure_reason
task_line_0011,8,Dwelling Roof,Flashing - pipe jack,5.0,EA,True,Dwelling Roof,14,RFG,FLPIPE,&,Flashing - pipe jack,5,EA,Dwelling,348.8,EXACT,,RFC/FLPIPE,review_required,committed,
task_line_0012,8,Dwelling Roof,Prime & paint roof jack,5.0,EA,True,Dwelling Roof,15,PNT,RJACK,+,Prime & paint roof jack,5,EA,Dwelling,246.04,EXACT,,,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0013,8,Dwelling Roof,"Detach & Reset Exhaust cap - through roof - up to 4""",2.0,EA,True,Dwelling Roof,17,RFG,VENTE<,R,"Exhaust cap - through roof - up to 4""",2,EA,Dwelling,203.43,EXACT,,RFC/VENTE<,review_required,committed,
task_line_0014,8,Dwelling Roof,"R&R Furnace vent - rain cap and storm collar, 5""",1.0,EA,True,Dwelling Roof,18,HVC,VENTCP5,&,"Furnace vent - rain cap and storm collar, 5""",1,EA,Dwelling,100.88,EXACT,,HVC/VENTCP5,review_required,committed,
task_line_0015,8,Dwelling Roof,Prime & paint roof vent,1.0,EA,True,Dwelling Roof,20,PNT,VENT,+,Prime & paint roof vent,1,EA,Dwelling,49.21,EXACT,,,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0016,8,Dwelling Roof,Detach & Reset Power attic vent cover only - plastic,4.0,EA,True,Dwelling Roof,21,RFG,PAVCRS,+,Power attic vent cover only - Detach & reset,4,EA,Dwelling,310.72,EXACT,,,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0017,8,Dwelling Roof,Aluminum sidewall/endwall flashing - color finish,9.0,LF,True,Dwelling Roof,22,RFG,ALUSW+,&,Aluminum sidewall/endwall flashing - color finish,9,LF,Dwelling,94.11,EXACT,,,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0018,8,Dwelling Roof,Remove Additional charge for steep roof - 7/12 to 9/12 slope,33.66,SQ,True,Dwelling Roof,24,RFG,STEEP,+,Remove Additional charge for steep roof - 7/12 to 9/12 slope,33.66,SQ,Dwelling,542.94,EXACT,,,review_required,committed,
task_line_0019,8,Dwelling Roof,Additional charge for steep roof - 7/12 to 9/12 slope,35.67,SQ,True,Dwelling Roof,26,RFG,STEEP,+,Additional charge for steep roof - 7/12 to 9/12 slope,35.67,SQ,Dwelling,1838.43,EXACT,,,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0020,9,Front Elevation,"R&R Window screen, 1 - 9 SF",2.0,EA,True,Front Elevation,27,WDR,SCRN<,&,"Window screen, 1 - 9 SF",2,EA,Dwelling,99.88,EXACT,,,review_required,not_committed,"Populated fields (WDI/SCRN<) differ from the selected candidate (WDR/SCRN<): observed 'WDI'/'SCRN<' does not match, normalize to, or truncate from expected 'WDR'/'SCRN<'"
task_line_0021,9,Front Elevation,R&R Overhead door & hardware - 16' x 7',1.0,EA,True,Front Elevation,29,DOR,OH16,&,Overhead door & hardware - 16' x 7',1,EA,Dwelling,1957.09,EXACT,,DO!/_,review_required,committed,
task_line_0022,9,Front Elevation,Overhead door insulation kit,1.0,EA,True,Front Elevation,31,DOR,OHINSK,+,Overhead door insulation kit,1,EA,Dwelling,249.74,EXACT,,DO!/_,review_required,committed,
task_line_0023,9,Front Elevation,Overhead door weather stop,30.0,LF,True,Front Elevation,32,DOR,OHDWS,+,Overhead door weather stop,30,LF,Dwelling,117.76,EXACT,,DO!/_,review_required,committed,
task_line_0024,9,Front Elevation,Overhead door bottom panel weather seal w/track,16.0,LF,True,Front Elevation,33,DOR,OHBPS,+,Overhead door bottom panel weather seal w/track,16,LF,Dwelling,186.28,EXACT,,DO!/_,review_required,committed,
task_line_0025,9,Front Elevation,R&R Overhead (garage) door opener,1.0,EA,True,Front Elevation,34,DOR,OHO,&,Overhead (garage) door opener,1,EA,Dwelling,536.62,EXACT,,,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0026,9,Front Elevation,Paint overhead door - Large - 1 coat (per side),1.0,EA,True,Front Elevation,35,PNT,OH>1,+,Paint overhead door - Large - 1 coat (per side),1,EA,Dwelling,171.59,EXACT,,,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0027,9,Front Elevation,Paint double garage door opening & trim - 1 coat,1.0,EA,True,Front Elevation,36,PNT,OHDOT>1,+,Paint double garage door opening & trim - 1 coat,1,EA,Dwelling,123.65,EXACT,,,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0028,9,Front Elevation,Landscaping Light,1.0,EA,True,Front Elevation,37,LND,AGP,+,Landscaping lights,1,EA,Other Structures,9.98,STRONG,"Description plural mismatch (source 'Light' singular); coverage is 'Other Structures', not 'Dwelling' like every other Front Elevation item.",,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0029,9,Front Elevation,Lighting Installer - Electrician - per hour,0.13,HR,True,Front Elevation,38,LIT,LAB,+,Lighting Installer - Electrician - per hour,0.13,HR,Dwelling,15.82,EXACT,"Same source description maps to ELE/LAB in Rear Elevation (#57) -- context/estimator-dependent, not a fixed 1:1 rule.",,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0030,10,Right Elevation,"R&R Downspout - aluminum - up to 5""",44.0,LF,True,Right Elevation,40,SFG,GUTA,&,"R&R Downspout - aluminum - up to 5""",44,LF,Dwelling,450.04,EXACT,,SFG/GUTA,review_required,committed,
task_line_0031,10,Right Elevation,"R&R Window screen, 1 - 9 SF",2.0,EA,True,Right Elevation,55,WDR,SCRN<,&,"Window screen, 1 - 9 SF",2,EA,Dwelling,99.88,EXACT,,,review_required,not_committed,"Populated fields (WDI/SCRN<) differ from the selected candidate (WDR/SCRN<): observed 'WDI'/'SCRN<' does not match, normalize to, or truncate from expected 'WDR'/'SCRN<'"
task_line_0032,10,Rear Elevation,"R&R Downspout - aluminum - up to 5""",24.0,LF,True,Rear Elevation,56,SFG,GUTA,&,"Downspout - aluminum - up to 5""",24,LF,Dwelling,245.48,EXACT,,SFG/GUTA,completed,committed,
task_line_0033,10,Rear Elevation,String Light,1.0,EA,True,Rear Elevation,58,LIT,BIDITM,+,String Light,1,EA,Dwelling,39.99,EXACT,,,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0034,10,Rear Elevation,Lighting Installer - Electrician - per hour,0.5,HR,True,Rear Elevation,57,ELE,LAB,+,Lighting Installer Electrician - per hour,0.5,HR,Dwelling,55.0,EXACT,"Same source description as task_line_0029, but ELE/LAB here vs LIT/LAB there -- confirms estimator choice varies by instance.",,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0035,11,Left Elevation,"R&R Downspout - aluminum - up to 5""",44.0,LF,False,,,,,,,,,,,NOT_FOUND,"Left Elevation independently re-verified 3x live, consistently showing only #51 (dump trailer) -- no downspout line found there, despite Right/Rear Elevation both having one. Could be genuine (no reported downspout damage on that side) or an incomplete capture; flagged honestly rather than guessed. ClaimXtract's last run DID commit SFG/GUTA here on its own initiative -- unconfirmed against reference.",SFG/GUTA,review_required,committed,
task_line_0036,11,Left Elevation,"Window screen - rescreen, 1 - 9 SF",1.0,EA,False,,,,,,,,,,,NOT_FOUND,No 'rescreen' item found under Left Elevation. Possible the estimator considered a full R&R (already present in Front/Right) sufficient and omitted a rescreen as redundant scope.,,review_required,not_committed,"Populated fields (WDI/SCRNR<) differ from the selected candidate (WDR/SCRNR<): observed 'WDI'/'SCRNR<' does not match, normalize to, or truncate from expected 'WDR'/'SCRNR<'"
task_line_0037,11,Left Elevation,Comb/straighten a/c cond. fins - w/trip charge - Large,1.0,EA,False,,,,,,,,,,,NOT_FOUND,No A/C condenser fin item found under Left Elevation.,,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0038,11,Fence,"R&R Wood fence rail - 2"" x 4"" x 8'",9.0,EA,True,Fence,46,FEN,RAIL,&,"Wood fence rail - 2"" x 4"" x 8'",9,EA,Other Structures,322.01,EXACT,,FEN/RAIL,review_required,committed,
task_line_0039,11,Fence,Clean Fence,765.0,SF,True,Fence,48,CLN,AV,+,Clean the surface area,765,SF,Dwelling,464.42,STRONG,"Generic 'Clean the surface area' catalog item, not fence-specific wording at all -- explains why a 'fence' search never surfaced it.",,failed,not_committed,No candidate scored above the review-required threshold.
task_line_0040,12,Fence,Stain - wood fence/gate,765.0,SF,True,Fence,50,PNT,FENST,+,Stain - wood fence/gate,765,SF,Other Structures,960.51,EXACT,,PNT/FENST,review_required,committed,
task_line_0041,12,Debris Removal,Tandem axle dump trailer - per load - including dump fees,1.0,EA,True,Left Elevation,51,DMO,DTRLR,-,Tandem axle dump trailer - per load - including dump fees,1,EA,Dwelling,246.69,EXACT,"Reference places this under Left Elevation, NOT a separate Debris Removal group like our extraction assumed.",,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0042,12,Labor Minimums Applied,Fencing labor minimum,1.0,EA,False,,,,,,,,,,,NOT_FOUND,Reference estimate has NO 'Labor Minimums Applied' group and no distinct labor-minimum line item anywhere. Xactimate likely applies labor minimums automatically/implicitly rather than as a visible separate line.,,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
