"PriceList","CAT","SEL","Description","ItemId"
"CODE8X_AUG26_182319065en-US","ACT","LP","Light diffusing panel (i.e., cracked ice)","585"
"CODE8X_AUG26_182319065en-US","ACT","LP+","Light diffusing panel - High grade (i.e., mist white)","585"
"CODE8X_AUG26_182319065en-US","ACT","LP++","Light diffusing panel - Premium grade (i.e., egg crate)","585"
"CODE8X_AUG26_182319065en-US","ACT","MN","Acoustic Ceiling - Labor Minimum","11200"
"CODE8X_AUG26_182319065en-US","ACT","MTRAY","Acoustical ceilings - metal tray type","577"
"CODE8X_AUG26_182319065en-US","ACT","PDB","Acoustical Treatments (Paid Bill)","10810"
"CODE8X_AUG26_182319065en-US","ACT","SG","Suspended ceiling grid - 2' x 4'","561"
"CODE8X_AUG26_182319065en-US","ACT","SG+","Suspended ceiling grid - High grade - 2' x 4'","561"
"CODE8X_AUG26_182319065en-US","ACT","SG++","Suspended ceiling grid - Premium grade - 2' x 4'","561"
"CODE8X_AUG26_182319065en-US","ACT","SG2","Suspended ceiling grid - 2' x 2'","561"
"CODE8X_AUG26_182319065en-US","ACT","SG2+","Suspended ceiling grid - High grade - 2' x 2'","561"
"CODE8X_AUG26_182319065en-US","ACT","SG2++","Suspended ceiling grid - Premium grade - 2' x 2'","561"
"CODE8X_AUG26_182319065en-US","ACT","SG2RS","Suspended ceiling grid - Detach & reset","561"
"CODE8X_AUG26_182319065en-US","ACT","SGRS","Suspended ceiling grid - Reset/realign","561"
"CODE8X_AUG26_182319065en-US","ACT","ST","Suspended ceiling tile - 2' x 4'","556"
"CODE8X_AUG26_182319065en-US","ACT","ST-","Suspended ceiling tile - Standard grade - 2' x 4'","556"
"CODE8X_AUG26_182319065en-US","ACT","ST+","Suspended ceiling tile - High grade - 2' x 4'","556"
"CODE8X_AUG26_182319065en-US","ACT","ST++","Suspended ceiling tile - Premium grade - 2' x 4'","556"
"CODE8X_AUG26_182319065en-US","ACT","ST2","Suspended ceiling tile - 2' x 2'","556"
"CODE8X_AUG26_182319065en-US","ACT","ST2-","Suspended ceiling tile - Standard grade - 2' x 2'","556"
"CODE8X_AUG26_182319065en-US","ACT","ST2+","Suspended ceiling tile - High grade - 2' x 2'","556"
"CODE8X_AUG26_182319065en-US","ACT","ST2++","Suspended ceiling tile - Premium grade - 2' x 2'","556"
"CODE8X_AUG26_182319065en-US","ACT","STCL","Suspended ceiling tile for clean room/kitchen - 2' x 4'","556"
"CODE8X_AUG26_182319065en-US","ACT","STCL2","Suspended ceiling tile for clean room/kitchen - 2' x 2'","556"
"CODE8X_AUG26_182319065en-US","ACT","STG","Suspended ceiling system - 2' x 4'","565"
"CODE8X_AUG26_182319065en-US","ACT","STG-","Suspended ceiling system - Standard grade - 2' x 4'","565"
"CODE8X_AUG26_182319065en-US","ACT","STG+","Suspended ceiling system - High grade - 2' x 4'","565"
"CODE8X_AUG26_182319065en-US","ACT","STG++","Suspended ceiling system - Premium grade - 2' x 4'","565"
"CODE8X_AUG26_182319065en-US","ACT","STG2","Suspended ceiling system - 2' x 2'","565"
"CODE8X_AUG26_182319065en-US","ACT","STG2-","Suspended ceiling system - Standard grade - 2' x 2'","565"
"CODE8X_AUG26_182319065en-US","ACT","STG2+","Suspended ceiling system - High grade - 2' x 2'","565"
"CODE8X_AUG26_182319065en-US","ACT","STG2++","Suspended ceiling system - Premium grade - 2' x 2'","565"
"CODE8X_AUG26_182319065en-US","ACT","STGF2","Suspended ceiling system - 2' x 2' fabric covered","565"
"CODE8X_AUG26_182319065en-US","ACT","STGLIN","Suspended ceiling system - Linear metal strip","565"
"CODE8X_AUG26_182319065en-US","ACT","STRS","Suspended ceiling tile - Detach & reset","556"
"CODE8X_AUG26_182319065en-US","ACT","TINCC","Tin ceiling cornice - embossed - unpainted","3112"
"CODE8X_AUG26_182319065en-US","ACT","TINCC+","Tin ceiling cornice - embossed - factory painted","3112"
"CODE8X_AUG26_182319065en-US","ACT","TINCC++","Tin ceiling cornice - embossed - chrome/brass/copper","3112"
"CODE8X_AUG26_182319065en-US","ACT","TINCP","Tin ceiling panel - embossed - unpainted","577"
"CODE8X_AUG26_182319065en-US","ACT","TINCP+","Tin ceiling panel - embossed - factory painted","577"
"CODE8X_AUG26_182319065en-US","ACT","TINCP++","Tin ceiling panel - embossed - chrome/brass/copper","577"
"CODE8X_AUG26_182319065en-US","ACT","TINCPRS","Tin ceiling panel - embossed - Detach & reset","577"
"CODE8X_AUG26_182319065en-US","APP","AGP","Appliances (Agreed Price)","10810"
"CODE8X_AUG26_182319065en-US","APP","BBC","Bottle/can box cooler - Commercial","1601"
"CODE8X_AUG26_182319065en-US","APP","BIDITM","Appliances (Bid Item)","10810"
"CODE8X_AUG26_182319065en-US","APP","CKIT","Compact Kitchenette - 48"" - Range-Refrigerator-Sink","10001"
"CODE8X_AUG26_182319065en-US","APP","CKIT+","Compact Kitchenette - 48"" - Range-Frig.-Sink-Wall Cabinets","10001"
"CODE8X_AUG26_182319065en-US","APP","CKIT<","Compact Kitchenette - 30"" - Range-Refrigerator-Sink","10001"
"CODE8X_AUG26_182319065en-US","APP","CKIT<+","Compact Kitchenette - 30"" - Range-Frig.-Sink-Wall Cabinets","10001"
"CODE8X_AUG26_182319065en-US","APP","CKIT>","Compact Kitchenette - 60"" - Range-Refrigerator-Sink","10001"
"CODE8X_AUG26_182319065en-US","APP","CKIT>+","Compact Kitchenette - 60"" - Range-Frig.-Sink-Wall Cabinets","10001"
"CODE8X_AUG26_182319065en-US","APP","CT","Cooktop - electric","591"
"CODE8X_AUG26_182319065en-US","APP","CT-","Cooktop - electric - Standard grade","591"
"CODE8X_AUG26_182319065en-US","APP","CT+","Cooktop - electric - High grade","591"
"CODE8X_AUG26_182319065en-US","APP","CT++","Cooktop - electric - Premium grade","591"
"CODE8X_AUG26_182319065en-US","APP","CT+++","Cooktop - electric - Deluxe grade","591"
"CODE8X_AUG26_182319065en-US","APP","CTG","Cooktop - gas","591"
"CODE8X_AUG26_182319065en-US","APP","CTG-","Cooktop - gas - Standard grade","591"
"CODE8X_AUG26_182319065en-US","APP","CTG+","Cooktop - gas - High grade","591"
"CODE8X_AUG26_182319065en-US","APP","CTG++","Cooktop - gas - Premium grade","591"
"CODE8X_AUG26_182319065en-US","APP","CTG+++","Cooktop - gas - Deluxe grade","591"
"CODE8X_AUG26_182319065en-US","APP","CTM","Cooktop - mobile home","591"
"CODE8X_AUG26_182319065en-US","APP","CTRS","Cooktop - Detach & reset","591"
"CODE8X_AUG26_182319065en-US","APP","DD","Downdraft vent","10008"
"CODE8X_AUG26_182319065en-US","APP","DD+","Downdraft vent - High grade","10008"
"CODE8X_AUG26_182319065en-US","APP","DD++","Downdraft vent - Premium grade","10008"
"CODE8X_AUG26_182319065en-US","APP","DD+++","Downdraft vent - Deluxe grade","10008"
"CODE8X_AUG26_182319065en-US","APP","DDRS","Downdraft vent - Detach & reset","10008"
"CODE8X_AUG26_182319065en-US","APP","DHC","Dryer - Heavy commercial - 25-35 lb capacity","10002"
"CODE8X_AUG26_182319065en-US","APP","DHC>","Dryer - Heavy commercial - 40-50 lb capacity","10002"
"CODE8X_AUG26_182319065en-US","APP","DHC>>","Dryer - Heavy commercial - 60-75 lb capacity","10002"
"CODE8X_AUG26_182319065en-US","APP","DHC>>>","Dryer - Heavy commercial - 120 lb capacity","10002"
"CODE8X_AUG26_182319065en-US","APP","DHCCB","Dryer - Commercial - coin box","10002"
"CODE8X_AUG26_182319065en-US","APP","DHCRS","Dryer - Heavy commercial - Remove & reset - gas/electric","10002"
"CODE8X_AUG26_182319065en-US","APP","DHCS","Dryer - Heavy commercial - stackable - 30-45 lb capacity","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYC","Dryer - Light commercial","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYC>","Dryer - Light commercial - Large","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYE","Dryer - Electric","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYE-","Dryer - Electric - Standard grade","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYE+","Dryer - Electric - High grade","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYE++","Dryer - Electric - Premium grade","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYE+++","Dryer - Electric - Deluxe grade","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYER","Dryer - Electric - Reset","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYG","Dryer - Gas","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYG-","Dryer - Gas - Standard grade","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYG+","Dryer - Gas - High grade","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYG++","Dryer - Gas - Premium grade","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYG+++","Dryer - Gas - Deluxe grade","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYGR","Dryer - Gas - Reset","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYGRS","Dryer - Remove & reset - gas","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYRS","Dryer - Remove & reset","10002"
"CODE8X_AUG26_182319065en-US","APP","DRYS","Dryer - Light commercial - stackable","10002"
"CODE8X_AUG26_182319065en-US","APP","DW","Dishwasher","597"
"CODE8X_AUG26_182319065en-US","APP","DW-","Dishwasher - Standard grade","597"
"CODE8X_AUG26_182319065en-US","APP","DW+","Dishwasher - High grade","597"
"CODE8X_AUG26_182319065en-US","APP","DW++","Dishwasher - Premium grade","597"
"CODE8X_AUG26_182319065en-US","APP","DW+++","Dishwasher - Deluxe grade","597"
"CODE8X_AUG26_182319065en-US","APP","DWR","Dishwasher - Reset","597"
"CODE8X_AUG26_182319065en-US","APP","DWRS","Dishwasher - Detach & reset","597"
"CODE8X_AUG26_182319065en-US","APP","DWSUP","Dishwasher supply line - material only","10008"
"CODE8X_AUG26_182319065en-US","APP","FRBI","Built-in freezer - 36""","1594"
"CODE8X_AUG26_182319065en-US","APP","FRBI+","Built-in freezer - 36"" - High grade","1594"
"CODE8X_AUG26_182319065en-US","APP","FRBI++","Built-in freezer - 36"" - Premium grade","1594"
"CODE8X_AUG26_182319065en-US","APP","FRZRS","Freezer - Remove & reset","1594"
"CODE8X_AUG26_182319065en-US","APP","GD","Garbage disposal / disposer","603"
"CODE8X_AUG26_182319065en-US","APP","GD-","Garbage disposal / disposer - Standard grade","603"
"CODE8X_AUG26_182319065en-US","APP","GD+","Garbage disposal / disposer - High grade","603"
"CODE8X_AUG26_182319065en-US","APP","GD++","Garbage disposal / disposer - Premium grade","603"
"CODE8X_AUG26_182319065en-US","APP","GDAIR","Garbage disposal / disposer air switch","603"
"CODE8X_AUG26_182319065en-US","APP","GDAIR+","Garbage disposal / disposer air switch - High grade","603"
"CODE8X_AUG26_182319065en-US","APP","GDR","Garbage disposal / disposer - Reset","603"
"CODE8X_AUG26_182319065en-US","APP","GDRS","Garbage disposal / disposer - Detach & reset","603"
"CODE8X_AUG26_182319065en-US","APP","HD","Range hood","608"
"CODE8X_AUG26_182319065en-US","APP","HD-","Range hood - Standard grade","608"
"CODE8X_AUG26_182319065en-US","APP","HD+","Range hood - High grade","608"
"CODE8X_AUG26_182319065en-US","APP","HD>","Range hood - oversized","1595"
"CODE8X_AUG26_182319065en-US","APP","HD>-","Range hood - oversized - Standard grade","1595"
"CODE8X_AUG26_182319065en-US","APP","HD>+","Range hood - oversized - High grade","1595"
"CODE8X_AUG26_182319065en-US","APP","HDC","Range hood - copper","608"
"CODE8X_AUG26_182319065en-US","APP","HDC+","Range hood - copper - High grade","608"
"CODE8X_AUG26_182319065en-US","APP","HDC>","Range hood - copper - oversized","1595"
"CODE8X_AUG26_182319065en-US","APP","HDC>+","Range hood - copper - oversized - High grade","1595"
"CODE8X_AUG26_182319065en-US","APP","HDI","Range hood - add on cost for ceiling mount/island hood","608"
"CODE8X_AUG26_182319065en-US","APP","HDM","Range hood - mobile home","608"
"CODE8X_AUG26_182319065en-US","APP","HDRS","Range hood - Detach & reset","608"
"CODE8X_AUG26_182319065en-US","APP","HDSS","Range hood - stainless steel","608"
"CODE8X_AUG26_182319065en-US","APP","HDSS+","Range hood - stainless steel - High grade","608"
"CODE8X_AUG26_182319065en-US","APP","HDSS>","Range hood - stainless steel - oversized","1595"
"CODE8X_AUG26_182319065en-US","APP","HDSS>+","Range hood - stainless steel - oversized - High grade","1595"
"CODE8X_AUG26_182319065en-US","APP","ICE","Ice machine with storage bin","10003"
"CODE8X_AUG26_182319065en-US","APP","ICERS","Ice machine with storage bin - Detach & reset","10003"
"CODE8X_AUG26_182319065en-US","APP","IM","Ice maker appliance, 15"" wide - built-in","10003"
"CODE8X_AUG26_182319065en-US","APP","IM+","Ice maker appliance, 15"" wide - built-in - High grade","10003"
"CODE8X_AUG26_182319065en-US","APP","IMDP","Ice maker drain pump","10003"
"CODE8X_AUG26_182319065en-US","APP","IMRS","Ice maker - Detach & reset","10003"
"CODE8X_AUG26_182319065en-US","APP","KITSF","Kitchen Equipment - Commercial (per SF of kitchen)","14002"
"CODE8X_AUG26_182319065en-US","APP","MWD","Microwave drawer","613"
"CODE8X_AUG26_182319065en-US","APP","MWD-","Microwave drawer - Standard grade","613"
"CODE8X_AUG26_182319065en-US","APP","MWD+","Microwave drawer - High grade","613"
"CODE8X_AUG26_182319065en-US","APP","MWS","Microwave oven - over range w/built-in hood","613"
"CODE8X_AUG26_182319065en-US","APP","MWS-","Microwave oven - over range w/built-in hood - Standard grd","613"
"CODE8X_AUG26_182319065en-US","APP","MWS+","Microwave oven - over range w/built-in hood - High grade","613"
"CODE8X_AUG26_182319065en-US","APP","MWSRS","Microwave oven - over range or drawer type- Detach & reset","613"
"CODE8X_AUG26_182319065en-US","APP","NAPCT","Cooktop - electric - per specs from ind. material source","591"
"CODE8X_AUG26_182319065en-US","APP","NAPCTG","Cooktop - gas - per specs from independent material source","591"
"CODE8X_AUG26_182319065en-US","APP","NAPDW","Dishwasher - per specs from independent material source","597"
"CODE8X_AUG26_182319065en-US","APP","NAPMW","Microwave oven w/built-in range hood- per ind. mat. source","613"
"CODE8X_AUG26_182319065en-US","APP","NAPRF","Refrigerator - per specs from independent material source","1601"
"CODE8X_AUG26_182319065en-US","APP","NAPRF>","Refrigerator - large - per specs from ind. material source","1601"
"CODE8X_AUG26_182319065en-US","APP","NAPRG","Range - freestanding - electric - per ind. mat. source","1630"
"CODE8X_AUG26_182319065en-US","APP","NAPRGG","Range - freestanding - gas - per ind. mat. source","1641"
"CODE8X_AUG26_182319065en-US","APP","NAPRGG>","Range - freestanding - gas - large - per ind. mat. source","1630"
"CODE8X_AUG26_182319065en-US","APP","OVBI","Built-in oven","616"
"CODE8X_AUG26_182319065en-US","APP","OVBI-","Built-in oven - Standard grade","616"
"CODE8X_AUG26_182319065en-US","APP","OVBI+","Built-in oven - High grade","616"
"CODE8X_AUG26_182319065en-US","APP","OVBI++","Built-in oven - Premium grade","616"
"CODE8X_AUG26_182319065en-US","APP","OVBID","Built-in double oven","616"
"CODE8X_AUG26_182319065en-US","APP","OVBID-","Built-in double oven - Standard grade","616"
"CODE8X_AUG26_182319065en-US","APP","OVBID+","Built-in double oven - High grade","616"
"CODE8X_AUG26_182319065en-US","APP","OVBID++","Built-in double oven - Premium grade","616"
"CODE8X_AUG26_182319065en-US","APP","OVBIRS","Built-in oven - Detach & reset","616"
"CODE8X_AUG26_182319065en-US","APP","PC","Appliance power cord - material only","10008"
"CODE8X_AUG26_182319065en-US","APP","PDB","Appliances (Paid Bill)","10810"
"CODE8X_AUG26_182319065en-US","APP","RF14","Refrigerator - top freezer - 14 to 18 cf","1601"
"CODE8X_AUG26_182319065en-US","APP","RF14-","Refrigerator - top freezer - 14 to 18 cf - Standard grade","1601"
"CODE8X_AUG26_182319065en-US","APP","RF14+","Refrigerator - top freezer - 14 to 18 cf - High grade","1601"
"CODE8X_AUG26_182319065en-US","APP","RF14++","Refrigerator - top freezer - 14 to 18 cf - Premium grade","1601"
"CODE8X_AUG26_182319065en-US","APP","RF18","Refrigerator - top freezer - 18 to 22 cf","1604"
"CODE8X_AUG26_182319065en-US","APP","RF18-","Refrigerator - top freezer - 18 to 22 cf - Standard grade","1604"
"CODE8X_AUG26_182319065en-US","APP","RF18+","Refrigerator - top freezer - 18 to 22 cf - High grade","1604"
"CODE8X_AUG26_182319065en-US","APP","RF18++","Refrigerator - top freezer - 18 to 22 cf - Premium grade","1604"
"CODE8X_AUG26_182319065en-US","APP","RF22","Refrigerator - top freezer - 22 to 24 cf","1607"
"CODE8X_AUG26_182319065en-US","APP","RF22-","Refrigerator - top freezer - 22 to 24 cf - Standard grade","1607"
"CODE8X_AUG26_182319065en-US","APP","RF22+","Refrigerator - top freezer - 22 to 24 cf - High grade","1607"
"CODE8X_AUG26_182319065en-US","APP","RF22++","Refrigerator - top freezer - 22 to 24 cf - Premium grade","1607"
"CODE8X_AUG26_182319065en-US","APP","RF25","Refrigerator - top freezer - 24 to 26 cf","1611"
"CODE8X_AUG26_182319065en-US","APP","RF25+","Refrigerator - top freezer - 24 to 26 cf - High grade","1611"
"CODE8X_AUG26_182319065en-US","APP","RF25++","Refrigerator - top freezer - 24 to 26 cf - Premium grade","1611"
"CODE8X_AUG26_182319065en-US","APP","RF25+++","Refrigerator - top freezer - 24 to 26 cf - Deluxe grade","10005"
"CODE8X_AUG26_182319065en-US","APP","RFB18","Refrigerator - bottom freezer - 18 to 22 cf","1604"
"CODE8X_AUG26_182319065en-US","APP","RFB18-","Refrigerator - bottom freezer - 18 to 22 cf - Standard grd","1604"
"CODE8X_AUG26_182319065en-US","APP","RFB18+","Refrigerator - bottom freezer - 18 to 22 cf - High grade","1604"
"CODE8X_AUG26_182319065en-US","APP","RFB18++","Refrigerator - bottom freezer - 18 to 22 cf -Premium grade","1604"
"CODE8X_AUG26_182319065en-US","APP","RFB22","Refrigerator - bottom freezer - 22 to 25 cf","1607"
"CODE8X_AUG26_182319065en-US","APP","RFB22-","Refrigerator - bottom freezer - 22 to 25 cf - Standard grd","1607"
"CODE8X_AUG26_182319065en-US","APP","RFB22+","Refrigerator - bottom freezer - 22 to 25 cf - High grade","1607"
"CODE8X_AUG26_182319065en-US","APP","RFB22++","Refrigerator - bottom freezer - 22 to 25 cf -Premium grade","1607"
"CODE8X_AUG26_182319065en-US","APP","RFB25","Refrigerator - bottom freezer - 25 to 30 cf","1611"
"CODE8X_AUG26_182319065en-US","APP","RFB25-","Refrigerator - bottom freezer - 25 to 30 cf - Standard grd","1611"
"CODE8X_AUG26_182319065en-US","APP","RFB25+","Refrigerator - bottom freezer - 25 to 30 cf - High grade","1611"
"CODE8X_AUG26_182319065en-US","APP","RFB25++","Refrigerator - bottom freezer - 25 to 30 cf -Premium grade","1611"
"CODE8X_AUG26_182319065en-US","APP","RFBI","Built-in refrigerator - 36""","10005"
"CODE8X_AUG26_182319065en-US","APP","RFBI+","Built-in refrigerator - 36"" - High grade","10005"
"CODE8X_AUG26_182319065en-US","APP","RFBI++","Built-in refrigerator - 36"" - Premium grade","10005"
"CODE8X_AUG26_182319065en-US","APP","RFBI+++","Built-in refrigerator - 36"" - Deluxe grade","10005"
"CODE8X_AUG26_182319065en-US","APP","RFBI>","Built-in refrigerator - 42""","10005"
"CODE8X_AUG26_182319065en-US","APP","RFBI>+","Built-in refrigerator - 42"" - High grade","10005"
"CODE8X_AUG26_182319065en-US","APP","RFBI>++","Built-in refrigerator - 42"" - Premium grade","10005"
"CODE8X_AUG26_182319065en-US","APP","RFBI>DX","Built-in refrigerator - 42"" - Deluxe grade","10005"
"CODE8X_AUG26_182319065en-US","APP","RFBIRS","Built-in freezer/refrigerator - Remove & reset","1619"
"CODE8X_AUG26_182319065en-US","APP","RFBIX","Built-in refrigerator - 48""","10005"
"CODE8X_AUG26_182319065en-US","APP","RFBIX+","Built-in refrigerator - 48"" - High grade","10005"
"CODE8X_AUG26_182319065en-US","APP","RFBIX++","Built-in refrigerator - 48"" - Premium grade","10005"
"CODE8X_AUG26_182319065en-US","APP","RFBIXDX","Built-in refrigerator - 48"" - Deluxe grade","10005"
"CODE8X_AUG26_182319065en-US","APP","RFBIXRS","Built-in freezer/refrigerator - Large - Remove & reset","1619"
"CODE8X_AUG26_182319065en-US","APP","RFD","Refrigerated drawer appliance - under-counter - built-in","10006"
"CODE8X_AUG26_182319065en-US","APP","RFDRS","Refrigerated drawers - built-in - Remove & reset","10006"
"CODE8X_AUG26_182319065en-US","APP","RFM","Refrigerator - mobile home","1617"
"CODE8X_AUG26_182319065en-US","APP","RFMI","Refrigerator - compact (under counter)","10005"
"CODE8X_AUG26_182319065en-US","APP","RFMI-","Refrigerator - compact (under counter) - Standard grade","10005"
"CODE8X_AUG26_182319065en-US","APP","RFMI+","Refrigerator - compact (under counter) - High grade","10005"
"CODE8X_AUG26_182319065en-US","APP","RFMI++","Refrigerator - compact (under counter) - Premium grade","1601"
"CODE8X_AUG26_182319065en-US","APP","RFP","Refrigerator - paint / refinish","10007"
"CODE8X_AUG26_182319065en-US","APP","RFPG","Refrigerator - paint / refinish & replace gaskets","10007"
"CODE8X_AUG26_182319065en-US","APP","RFR","Refrigerator - Reset","1619"
"CODE8X_AUG26_182319065en-US","APP","RFR1","Refrigerator - reach-in - Restaurant Equip. - 1 door","10005"
"CODE8X_AUG26_182319065en-US","APP","RFR2","Refrigerator - reach-in - Restaurant Equip. - 2 door","10005"
"CODE8X_AUG26_182319065en-US","APP","RFR3","Refrigerator - reach-in - Restaurant Equip. - 3 door","10005"
"CODE8X_AUG26_182319065en-US","APP","RFRS","Refrigerator - Remove & reset","1619"
"CODE8X_AUG26_182319065en-US","APP","RFS18","Refrigerator - side by side - 16 to 22 cf","1619"
"CODE8X_AUG26_182319065en-US","APP","RFS18-","Refrigerator - side by side - 16 to 22 cf - Standard grade","1619"
"CODE8X_AUG26_182319065en-US","APP","RFS18+","Refrigerator - side by side - 16 to 22 cf - High grade","1619"
"CODE8X_AUG26_182319065en-US","APP","RFS18++","Refrigerator - side by side - 16 to 22 cf - Premium grade","1619"
"CODE8X_AUG26_182319065en-US","APP","RFS22","Refrigerator - side by side - 22 to 25 cf","1619"
"CODE8X_AUG26_182319065en-US","APP","RFS22-","Refrigerator - side by side - 22 to 25 cf - Standard grade","1619"
"CODE8X_AUG26_182319065en-US","APP","RFS22+","Refrigerator - side by side - 22 to 25 cf - High grade","1619"
"CODE8X_AUG26_182319065en-US","APP","RFS22++","Refrigerator - side by side - 22 to 25 cf - Premium grade","1619"
"CODE8X_AUG26_182319065en-US","APP","RFS24","Refrigerator - side by side - 25 to 30 cf","1622"
"CODE8X_AUG26_182319065en-US","APP","RFS24-","Refrigerator - side by side - 25 to 30 cf - Standard grade","1622"
"CODE8X_AUG26_182319065en-US","APP","RFS24+","Refrigerator - side by side - 25 to 30 cf - High grade","1622"
"CODE8X_AUG26_182319065en-US","APP","RFS24++","Refrigerator - side by side - 25 to 30 cf - Premium grade","1622"
"CODE8X_AUG26_182319065en-US","APP","RFSC","Refrigerator - Commercial - side by side","1625"
"CODE8X_AUG26_182319065en-US","APP","RFSCRS","Refrigerator - Commercial - side by side - Remove & reset","1625"
"CODE8X_AUG26_182319065en-US","APP","RFWLRS","Refrig. water line - Disconnect & reconnect - with repairs","10007"
"CODE8X_AUG26_182319065en-US","APP","RG","Range - freestanding - electric","1630"
"CODE8X_AUG26_182319065en-US","APP","RG-","Range - freestanding - electric - Standard grade","1630"
"CODE8X_AUG26_182319065en-US","APP","RG+","Range - freestanding - electric - High grade","1630"
"CODE8X_AUG26_182319065en-US","APP","RG++","Range - freestanding - electric - Premium grade","1630"
"CODE8X_AUG26_182319065en-US","APP","RG+++","Range - freestanding - electric - Deluxe grade","1630"
"CODE8X_AUG26_182319065en-US","APP","RGDI","Range - drop in","1637"
"CODE8X_AUG26_182319065en-US","APP","RGDI-","Range - drop in - Standard grade","1637"
"CODE8X_AUG26_182319065en-US","APP","RGDI+","Range - drop in - High grade","1637"
"CODE8X_AUG26_182319065en-US","APP","RGDI++","Range - drop in - Premium grade","1637"
"CODE8X_AUG26_182319065en-US","APP","RGDIRS","Range - drop in - Detach & reset","1637"
"CODE8X_AUG26_182319065en-US","APP","RGDL4","Range - freestanding double oven - dual - 48""","1630"
